              precision    recall  f1-score   support

           0       0.80      0.61      0.69      2580
           1       0.80      0.73      0.76      1096
           2       0.90      0.32      0.47      2195
           3       0.15      0.94      0.26       601
           4       0.86      0.79      0.82      1126

   micro avg       0.53      0.59      0.56      7598
   macro avg       0.70      0.68      0.60      7598
weighted avg       0.79      0.59      0.62      7598
 samples avg       0.55      0.63      0.55      7598
              precision    recall  f1-score   support

           0       0.86      0.43      0.58      2396
           1       0.52      0.70      0.60       722
           2       0.86      0.25      0.39      2062
           3       0.14      0.87      0.24       508
           4       0.84      0.79      0.82      1053
           5       0.74      0.96      0.84      1544

   micro avg       0.54      0.58      0.56      8285
   macro avg       0.66      0.67      0.58      8285
weighted avg       0.76      0.58      0.59      8285
 samples avg       0.58      0.62      0.56      8285
              precision    recall  f1-score   support

           0       0.67      0.68      0.68      1700
           1       0.55      0.71      0.62       814
           2       0.77      0.30      0.44      1694
           3       0.14      0.84      0.24       467
           4       0.82      0.81      0.82      1003
           5       0.63      0.95      0.76      1365
           6       0.73      0.08      0.15      2514

   micro avg       0.52      0.52      0.52      9557
   macro avg       0.62      0.63      0.53      9557
weighted avg       0.68      0.52      0.50      9557
 samples avg       0.57      0.56      0.53      9557
              precision    recall  f1-score   support

           0       0.68      0.70      0.69      1667
           1       0.58      0.71      0.64       835
           2       0.71      0.28      0.40      1530
           3       0.12      0.78      0.21       429
           4       0.82      0.81      0.81      1001
           5       0.53      0.92      0.67      1195
           6       0.79      0.08      0.15      2562
           7       0.40      0.45      0.42       884

   micro avg       0.49      0.50      0.49     10103
   macro avg       0.58      0.59      0.50     10103
weighted avg       0.65      0.50      0.47     10103
 samples avg       0.53      0.53      0.49     10103
              precision    recall  f1-score   support

           0       0.54      0.73      0.62      1311
           1       0.43      0.73      0.54       673
           2       0.69      0.29      0.41      1427
           3       0.13      0.78      0.22       424
           4       0.82      0.79      0.80      1025
           5       0.49      0.91      0.64      1117
           6       0.72      0.10      0.17      2154
           7       0.33      0.45      0.38       709
           8       0.74      0.20      0.32      1725

   micro avg       0.45      0.46      0.46     10565
   macro avg       0.54      0.55      0.46     10565
weighted avg       0.61      0.46      0.43     10565
 samples avg       0.49      0.49      0.46     10565
              precision    recall  f1-score   support

           0       0.55      0.74      0.63      1317
           1       0.49      0.74      0.59       778
           2       0.64      0.27      0.38      1296
           3       0.13      0.74      0.22       427
           4       0.83      0.78      0.80      1016
           5       0.43      0.92      0.59       985
           6       0.71      0.10      0.18      2186
           7       0.28      0.56      0.37       602
           8       0.65      0.20      0.30      1466
           9       0.59      0.26      0.36      1032

   micro avg       0.44      0.45      0.45     11105
   macro avg       0.53      0.53      0.44     11105
weighted avg       0.59      0.45      0.42     11105
 samples avg       0.48      0.49      0.45     11105
              precision    recall  f1-score   support

           0       0.50      0.71      0.59      1139
           1       0.45      0.71      0.55       704
           2       0.67      0.24      0.35      1480
           3       0.12      0.69      0.20       415
           4       0.81      0.78      0.80      1007
           5       0.44      0.92      0.59       988
           6       0.68      0.12      0.20      2009
           7       0.32      0.40      0.35       630
           8       0.69      0.20      0.31      1572
           9       0.63      0.29      0.40      1091
          10       0.27      0.80      0.41       418

   micro avg       0.42      0.44      0.43     11453
   macro avg       0.51      0.53      0.43     11453
weighted avg       0.58      0.44      0.42     11453
 samples avg       0.47      0.48      0.44     11453
              precision    recall  f1-score   support

           0       0.44      0.66      0.53       967
           1       0.47      0.74      0.57       728
           2       0.66      0.23      0.34      1472
           3       0.13      0.64      0.21       371
           4       0.85      0.67      0.75      1013
           5       0.39      0.91      0.55       911
           6       0.71      0.17      0.27      1819
           7       0.35      0.32      0.33       707
           8       0.70      0.19      0.30      1603
           9       0.75      0.32      0.44      1204
          10       0.28      0.61      0.39       340
          11       0.21      0.72      0.32       567

   micro avg       0.40      0.43      0.42     11702
   macro avg       0.50      0.51      0.42     11702
weighted avg       0.58      0.43      0.41     11702
 samples avg       0.44      0.47      0.42     11702
              precision    recall  f1-score   support

           0       0.29      0.52      0.37       588
           1       0.43      0.76      0.55       582
           2       0.65      0.22      0.33      1375
           3       0.10      0.49      0.16       283
           4       0.86      0.74      0.79      1007
           5       0.39      0.90      0.55       892
           6       0.62      0.09      0.16      2052
           7       0.56      0.34      0.43       807
           8       0.69      0.20      0.31      1582
           9       0.34      0.19      0.24       640
          10       0.16      0.22      0.18       255
          11       0.32      0.79      0.46       676
          12       0.57      0.81      0.67      1484

   micro avg       0.43      0.44      0.44     12223
   macro avg       0.46      0.48      0.40     12223
weighted avg       0.55      0.44      0.41     12223
 samples avg       0.47      0.48      0.44     12223
              precision    recall  f1-score   support

           0       0.19      0.32      0.24       490
           1       0.45      0.75      0.56       573
           2       0.65      0.24      0.35      1242
           3       0.12      0.49      0.19       301
           4       0.84      0.71      0.77      1030
           5       0.31      0.89      0.46       668
           6       0.64      0.08      0.14      2185
           7       0.50      0.28      0.36       776
           8       0.66      0.23      0.34      1476
           9       0.46      0.20      0.28       786
          10       0.11      0.28      0.16       216
          11       0.34      0.77      0.47       701
          12       0.57      0.79      0.66      1495
          13       0.46      0.79      0.58       777

   micro avg       0.42      0.44      0.43     12716
   macro avg       0.45      0.49      0.40     12716
weighted avg       0.54      0.44      0.41     12716
 samples avg       0.46      0.48      0.43     12716
              precision    recall  f1-score   support

           0       0.15      0.33      0.20       352
           1       0.46      0.72      0.56       559
           2       0.66      0.38      0.48       826
           3       0.12      0.55      0.19       286
           4       0.85      0.70      0.77       987
           5       0.28      0.84      0.42       617
           6       0.70      0.10      0.17      2000
           7       0.47      0.30      0.37       692
           8       0.56      0.38      0.45       820
           9       0.49      0.27      0.35       705
          10       0.13      0.34      0.19       167
          11       0.15      0.70      0.24       380
          12       0.58      0.81      0.68      1469
          13       0.48      0.81      0.61       776
          14       0.82      0.32      0.46      1938

   micro avg       0.41      0.47      0.44     12574
   macro avg       0.46      0.50      0.41     12574
weighted avg       0.58      0.47      0.44     12574
 samples avg       0.44      0.50      0.43     12574
              precision    recall  f1-score   support

           0       0.17      0.36      0.23       377
           1       0.46      0.75      0.57       581
           2       0.69      0.40      0.51       769
           3       0.09      0.39      0.15       239
           4       0.81      0.46      0.59       964
           5       0.25      0.84      0.39       558
           6       0.64      0.09      0.16      1912
           7       0.47      0.32      0.38       652
           8       0.57      0.37      0.44       758
           9       0.58      0.30      0.40       820
          10       0.19      0.49      0.27       192
          11       0.17      0.74      0.28       406
          12       0.65      0.77      0.70      1530
          13       0.50      0.80      0.62       781
          14       0.79      0.27      0.40      1939
          15       0.26      0.71      0.38       512

   micro avg       0.40      0.45      0.43     12990
   macro avg       0.46      0.50      0.40     12990
weighted avg       0.57      0.45      0.43     12990
 samples avg       0.43      0.48      0.42     12990
              precision    recall  f1-score   support

           0       0.12      0.28      0.17       317
           1       0.45      0.78      0.57       580
           2       0.59      0.33      0.43       723
           3       0.07      0.33      0.12       233
           4       0.81      0.48      0.61       970
           5       0.29      0.86      0.44       621
           6       0.68      0.10      0.18      1918
           7       0.51      0.34      0.41       696
           8       0.65      0.36      0.47       941
           9       0.39      0.28      0.33       528
          10       0.15      0.37      0.22       191
          11       0.16      0.72      0.26       374
          12       0.60      0.73      0.66      1383
          13       0.46      0.81      0.59       728
          14       0.77      0.27      0.39      1874
          15       0.23      0.70      0.35       507
          16       0.44      0.22      0.29       614

   micro avg       0.39      0.43      0.41     13198
   macro avg       0.43      0.47      0.38     13198
weighted avg       0.55      0.43      0.41     13198
